,0
0,1999.081
1,599.067
2,404.493
3,3802.597
4,1602.425
5,1001.021
6,5803.563
7,296.614
8,6497.358
9,997.604
10,4804.136
11,5704.962
12,7204.81
13,503.795
14,6700.114
15,702.469
16,5102.083
17,500.268
18,296.424
19,4702.225
20,599.383
21,5802.196
22,5498.339
23,5105.006
24,5099.264
25,5995.704
26,901.682
27,4500.955
28,797.849
29,3897.31
30,497.802
31,597.582
32,3604.51
33,5000.032
34,3300.609
35,2303.283
36,3898.413
37,2193.037
38,699.907
39,2900.476
40,3803.994
41,294.993
42,1303.098
43,1400.366
44,6096.604
45,1200.319
46,5104.382
47,3603.459
48,1301.234
49,7800.667
50,4803.802
51,1297.817
52,6503.475
53,799.823
54,1802.653
55,7803.256
56,6402.28
57,1802.588
58,903.856
59,900.956
60,5597.509
61,5305.871
62,600.834
63,3795.652
64,3900.264
65,5805.161
66,2202.514
67,5701.392
68,702.576
69,5105.294
70,6301.953
71,4810.496
72,5503.689
73,6199.615
74,4704.633
75,4601.194
76,403.026
77,4797.77
78,4405.823
79,6299.147
80,6199.798
81,4804.334
82,3898.254
83,5095.328
84,4906.055
85,804.83
86,4696.611
87,3703.062
88,398.143
89,1596.885
90,1197.529
91,2398.503
92,7200.241
93,801.791
94,4300.031
95,1601.214
96,1304.477
97,1599.774
98,4300.609
99,1598.897
100,3102.784
101,1598.801
102,5697.239
103,1200.411
104,407.236
105,5897.814
106,6701.105
107,190.184
108,4500.84
109,5606.195
110,6004.876
111,2995.808
112,4398.128
113,697.297
114,897.58
115,5298.787
116,5099.05
117,897.905
118,2197.788
119,5101.59
120,5200.02
121,6499.21
122,4996.865
123,5803.103
124,4800.425
125,498.768
126,5004.437
127,6599.187
128,5499.791
129,4997.985
130,4199.888
131,3507.158
132,205.125
133,4598.687
134,4604.21
135,1096.591
136,1297.253
137,3699.193
138,205.204
139,196.667
140,795.576
141,4100.469
142,6899.697
143,7299.594
144,1398.927
145,5802.82
146,5203.441
147,1099.024
148,5004.568
149,998.486
150,995.44
151,899.228
152,697.773
153,701.747
154,502.037
155,4199.511
156,3900.822
157,6403.076
158,300.496
159,6600.976
160,5301.544
161,6400.625
162,5400.862
163,4299.256
164,199.331
165,4301.018
166,5500.577
167,6595.25
168,6202.97
169,402.07
170,5003.573
171,6396.139
172,700.861
