,0
0,818.616
1,1717.021
2,5587.813
3,4504.083
4,4098.826
5,603.045
6,3294.233
7,2505.058
8,3689.165
9,4121.394
10,3073.411
11,2998.806
12,3510.657
13,3000.164
14,3105.785
15,3702.291
16,4411.572
17,4493.782
18,4690.837
19,5909.621
20,1894.531
21,3996.553
22,6131.672
23,3187.589
24,4528.994
25,4292.354
26,4998.565
27,3607.7
28,2103.454
29,893.223
30,3699.104
31,2982.89
32,4709.445
33,2204.117
34,2883.042
35,4003.242
36,1495.3
37,4311.318
38,717.225
39,3985.913
40,4004.916
41,1110.245
42,4197.113
43,1115.652
44,5106.652
45,3798.591
46,4684.968
47,4594.623
48,3905.363
49,6110.183
50,4518.651
51,816.082
52,3194.225
53,2995.507
54,3592.201
55,1092.682
56,2994.427
57,4497.824
58,3604.252
59,5004.378
60,4704.668
61,4194.277
62,3796.015
63,232.523
64,910.493
65,2393.641
66,4305.641
67,4485.825
68,1894.137
69,288.66
70,2687.235
71,4417.115
72,703.374
73,1712.648
74,4694.513
75,921.44
76,3997.793
77,3991.011
78,995.578
79,3307.678
80,1193.909
81,3911.142
82,4534.108
83,4403.962
84,3988.286
85,5496.241
86,805.041
87,4504.053
88,3600.851
89,4899.0
90,3384.366
91,4891.986
92,3003.076
93,3180.355
94,3484.038
95,2908.331
96,3107.223
97,4106.644
98,3822.906
99,3311.16
100,3487.131
101,409.672
102,5407.488
103,2764.575
104,2000.874
105,3993.431
106,1689.12
107,3207.518
108,4507.685
109,4899.958
110,4202.007
111,5922.865
112,3784.954
113,4008.112
114,1399.839
115,2992.67
116,3905.155
117,3997.73
118,3986.771
119,3709.334
120,2998.803
121,1111.16
122,4399.64
123,3202.507
124,3498.905
125,1019.965
126,4408.301
127,1808.52
128,3799.969
129,4790.785
130,3196.718
131,1853.408
132,4205.598
133,3788.121
134,4097.504
135,4298.483
136,3498.642
137,3600.954
138,699.11
139,2501.105
140,3908.624
141,3791.978
142,132.482
143,624.586
144,1305.744
145,4715.447
146,3408.188
147,3392.137
148,3103.823
149,5091.129
150,4295.681
151,4217.886
152,3292.932
153,5105.966
154,5110.38
155,3994.72
156,4800.909
157,3007.931
158,1288.879
159,474.15
160,3506.045
161,5404.046
162,3606.78
163,1491.71
164,3398.855
165,3599.49
166,4020.218
167,302.486
168,3718.598
169,4219.876
170,283.09
171,1612.212
172,2798.068
173,3667.081
174,4315.032
175,4702.934
176,4690.582
177,3807.139
178,3493.68
179,3504.419
180,3615.068
181,4676.624
182,3802.284
183,4181.873
184,3605.823
185,3900.354
186,5094.326
187,3093.284
188,3896.61
189,85.189
190,3996.407
191,3095.738
192,1808.645
193,4998.246
194,3595.393
195,4796.205
196,3807.089
197,5980.356
198,4607.473
199,4302.692
200,3693.791
201,789.144
202,4008.086
203,2388.919
204,1499.302
205,3811.255
206,4398.303
207,101.641
208,3606.986
209,3593.551
210,801.987
211,3394.696
212,3782.838
213,4206.962
214,3669.929
215,1695.073
216,4386.255
217,2717.215
218,3902.493
219,1185.177
220,780.283
221,4690.519
222,1304.136
223,1666.953
224,5384.931
225,1022.38
226,2308.32
227,3195.438
228,4371.75
229,1399.838
230,3494.218
231,4207.097
232,3510.491
233,4007.838
234,4614.014
235,3792.642
