,0
0,177.608
1,122.188
2,185.92
3,99.509
4,101.417
5,87.114
6,95.178
7,19.708
8,84.612
9,23.289
10,20.764
11,21.035
12,89.89
13,90.303
14,90.884
15,99.119
16,107.91
17,103.604
18,101.19
19,18.256
20,60.203
21,24.766
22,97.083
23,103.75
24,104.589
25,178.974
26,107.44
27,108.776
28,20.714
29,22.394
30,17.695
31,24.548
32,55.249
33,13.531
34,59.847
35,15.394
36,14.85
37,99.976
38,20.833
39,104.156
40,102.59
41,94.96
42,83.622
43,31.817
44,84.3
45,64.99
46,104.449
47,108.08
48,18.915
49,22.715
50,18.666
51,16.548
52,17.773
53,16.976
54,72.739
55,20.905
56,42.101
57,116.316
58,14.511
59,28.613
60,26.82
61,78.386
62,24.364
63,73.208
64,26.938
65,17.426
66,88.513
67,28.932
68,104.075
69,118.06
70,204.565
71,288.806
72,113.289
73,24.342
74,28.265
75,17.221
76,14.835
77,98.326
78,61.047
79,57.002
80,21.619
81,18.138
82,13.581
83,13.666
84,16.806
85,88.112
86,19.647
87,54.054
88,15.536
89,23.505
90,21.559
91,171.264
92,108.809
93,96.434
94,73.114
95,19.349
96,42.85
97,20.864
98,19.83
99,17.059
100,72.853
101,73.363
102,24.28
103,89.023
104,105.347
105,105.813
106,107.604
107,24.739
108,40.417
109,37.028
110,35.999
111,21.821
112,33.261
113,80.266
114,84.82
115,36.938
116,60.303
117,115.365
118,108.12
119,29.924
120,97.205
121,95.63
122,37.444
123,14.218
124,68.943
125,38.055
126,193.771
127,118.054
128,208.313
129,114.369
130,114.28
131,123.794
132,99.295
133,191.321
134,120.055
135,20.089
136,107.074
137,105.153
138,104.043
139,17.645
140,24.662
141,113.209
142,116.035
143,122.796
144,110.466
145,96.367
146,100.662
147,20.109
148,23.647
149,15.24
150,102.559
151,22.944
152,13.191
153,22.898
154,90.05
155,84.75
156,71.387
157,91.745
158,17.355
159,50.317
160,47.228
161,18.505
162,110.077
163,25.554
164,159.637
165,110.718
166,14.024
167,92.832
168,89.311
169,94.504
170,21.422
171,22.778
172,18.519
173,26.287
174,20.247
175,97.028
176,15.694
177,32.208
178,20.53
179,76.288
180,20.185
181,97.147
182,109.515
