,0
0,220.963
1,194.658
2,20.09
3,47.293
4,21.014
5,30.343
6,12.882
7,18.571
8,18.414
9,101.128
10,20.109
11,575.574
12,216.852
13,20.342
14,17.495
15,95.407
16,103.641
17,20.199
18,22.404
19,100.981
20,21.008
21,27.389
22,47.762
23,105.963
24,17.019
25,55.127
26,18.066
27,50.263
28,71.806
29,20.991
30,14.772
31,71.993
32,157.901
33,204.268
34,215.562
35,129.675
36,108.474
37,193.36
38,114.57
39,107.676
40,106.956
41,19.96
42,24.658
43,26.844
44,17.162
45,77.221
46,108.732
47,186.281
48,39.383
49,32.052
50,108.833
51,28.405
52,107.067
53,22.124
54,70.909
55,100.629
56,29.481
57,102.207
58,104.97
59,27.743
60,75.389
61,16.749
62,82.225
63,151.907
64,67.691
65,82.797
66,97.127
67,21.536
68,23.039
69,19.219
70,27.587
71,24.026
72,12.672
73,102.354
74,105.321
75,123.32
76,77.268
77,73.524
78,20.972
79,49.397
80,14.049
81,45.444
82,101.899
83,21.662
84,18.601
85,45.773
86,19.686
87,105.261
88,108.444
89,108.519
90,13.583
91,14.828
92,15.468
93,17.525
94,12.139
95,11.738
96,17.62
97,13.276
98,43.36
99,70.725
100,13.789
101,64.28
102,77.653
103,24.489
104,24.805
105,923.907
106,625.336
107,281.363
108,294.738
109,205.716
110,204.84
111,295.638
112,208.702
113,200.04
114,106.262
115,16.359
116,107.396
117,81.169
118,15.542
119,18.332
120,510.175
121,574.412
122,503.03
123,366.638
124,102.154
125,52.399
126,90.877
127,33.201
128,17.346
129,117.573
130,44.355
131,106.322
132,121.132
133,118.26
134,91.063
135,103.407
136,108.132
137,108.578
138,57.945
139,84.176
140,98.338
141,15.4
142,12.354
143,32.898
144,14.598
145,34.328
146,17.848
147,15.131
148,14.773
149,16.53
150,18.87
151,17.583
152,16.901
153,72.301
154,72.588
155,12.14
156,29.339
157,18.403
158,74.007
159,20.949
160,103.061
161,39.361
162,113.737
163,173.213
164,13.657
165,24.462
166,16.728
167,115.39
168,15.075
169,13.694
170,13.783
171,12.9
172,20.549
173,19.842
174,17.018
175,17.111
176,58.28
177,12.912
178,383.221
179,258.409
180,139.029
181,117.045
182,107.031
183,108.087
184,25.169
185,113.679
186,15.247
187,15.508
188,23.383
189,11.294
190,72.974
191,86.075
192,15.058
193,20.565
194,21.246
195,23.833
196,25.028
197,14.72
198,70.491
199,15.952
200,19.169
201,13.983
202,76.639
203,19.499
204,21.336
205,17.316
206,20.072
207,17.164
208,15.423
209,102.349
210,89.367
211,30.433
212,55.671
213,100.539
214,106.085
215,110.153
216,13.872
217,23.259
218,23.291
219,15.159
220,17.215
221,101.588
222,12.743
223,14.536
224,21.273
225,12.469
226,49.379
227,173.62
228,82.701
229,14.761
230,92.373
231,103.084
232,102.551
233,17.126
234,24.361
235,12.937
236,12.936
237,80.759
238,16.267
239,15.441
240,27.899
241,13.061
242,12.497
243,178.038
244,91.854
245,12.699
246,14.172
247,39.573
248,13.356
249,14.801
250,101.088
251,104.16
252,179.58
253,29.16
254,20.38
255,14.246
256,15.756
257,69.96
258,21.285
259,112.129
260,30.524
261,14.888
262,22.671
263,24.821
264,99.592
265,20.753
266,30.855
267,15.217
268,12.981
269,13.482
270,13.414
271,48.923
272,87.212
273,18.932
274,16.194
275,18.179
276,12.479
277,13.363
278,45.728
279,14.247
280,88.338
281,13.997
282,50.528
283,13.772
284,101.354
285,68.841
286,14.003
287,72.01
288,15.809
289,110.657
290,108.446
291,106.679
292,101.577
293,101.389
294,206.743
295,116.956
296,100.148
297,94.44
298,102.802
299,125.181
300,113.752
301,44.564
302,20.072
303,76.455
304,20.918
305,18.684
306,85.415
307,12.578
308,108.448
309,17.969
310,22.169
311,13.719
312,19.535
313,62.398
314,18.457
315,62.701
316,14.356
317,99.428
318,13.379
319,14.33
320,14.592
321,104.977
322,26.892
323,12.913
324,26.704
325,15.172
326,77.554
327,17.275
328,56.411
329,100.302
330,105.213
331,89.957
332,111.597
333,104.482
334,99.204
335,99.675
336,16.153
337,17.017
338,95.606
339,82.485
340,13.011
341,111.827
342,105.303
343,103.191
344,15.95
345,16.314
346,18.547
347,56.24
348,15.355
349,113.677
350,109.284
351,20.387
352,14.191
353,15.419
354,30.828
355,12.595
356,46.653
357,15.13
358,14.256
359,12.479
360,17.668
361,96.108
362,106.738
363,111.62
364,185.688
365,18.292
366,17.736
367,22.693
368,18.708
369,60.503
370,20.007
371,76.121
372,73.041
373,100.884
374,110.346
375,23.386
376,95.589
377,42.782
378,100.082
379,56.429
380,25.137
381,95.812
382,179.81
383,19.112
384,12.321
385,13.6
386,16.617
387,12.962
388,38.984
389,22.744
390,14.887
391,96.375
392,104.677
393,18.081
394,41.181
395,13.067
396,35.876
397,45.108
398,15.192
399,94.253
400,30.836
401,20.85
402,14.586
403,18.097
404,77.338
405,11.974
406,16.283
407,11.126
408,29.979
409,15.462
410,15.488
411,15.629
412,18.951
413,14.864
414,16.641
415,110.784
416,109.2
417,102.905
418,22.833
419,12.926
420,13.728
421,12.568
422,20.433
423,15.954
424,16.571
425,109.758
426,188.818
427,191.514
428,110.482
429,191.774
430,208.952
431,110.213
432,29.458
433,11.842
434,48.31
435,18.357
436,20.39
437,21.644
438,69.272
439,285.837
440,209.968
441,188.766
442,66.959
443,106.488
444,19.15
445,51.947
446,10.909
447,12.844
448,18.733
449,21.939
450,84.424
451,83.578
452,98.876
453,13.256
454,178.284
455,113.274
456,22.682
457,20.333
458,15.475
459,13.217
460,787.617
461,730.703
462,209.645
463,257.288
464,222.424
465,206.394
466,206.427
467,403.662
468,515.518
469,114.391
470,325.889
471,209.771
472,209.148
473,105.947
474,107.931
475,30.502
476,106.023
477,101.049
478,88.652
479,89.966
480,29.759
481,113.132
482,132.792
483,24.467
484,13.388
485,14.15
486,21.151
487,18.012
488,112.159
489,78.323
490,13.375
491,554.434
492,560.055
493,108.227
494,201.131
495,111.547
496,109.923
497,116.691
498,96.329
499,74.617
500,20.843
501,12.987
502,17.788
503,15.65
504,16.012
505,24.728
506,93.903
507,107.196
508,66.914
509,14.539
510,18.343
511,18.636
512,90.077
513,104.115
514,112.486
515,193.478
516,87.888
517,93.483
518,94.885
519,108.657
520,110.213
521,12.11
522,65.143
523,14.317
524,108.879
525,82.439
526,13.363
527,19.348
528,12.414
529,41.111
530,57.803
531,65.611
532,173.197
533,108.786
534,20.447
535,82.449
536,30.857
537,16.747
538,13.514
539,80.179
540,97.057
541,18.281
542,16.375
543,18.919
544,90.281
545,205.655
546,202.642
547,203.433
548,199.821
549,204.687
550,299.754
551,213.732
552,199.67
553,105.801
554,22.88
555,15.754
556,57.051
557,12.752
558,66.506
559,103.834
560,43.475
561,17.395
562,24.126
563,138.262
564,101.481
565,28.295
566,17.895
567,93.878
568,110.978
569,23.166
570,103.692
571,107.85
572,106.119
573,23.41
574,107.538
575,19.402
576,12.652
577,12.05
578,13.162
579,16.159
580,12.181
581,17.046
582,19.695
583,14.086
584,13.687
585,99.496
586,20.851
587,11.752
588,103.394
589,96.197
590,12.922
591,14.185
592,18.345
593,12.224
594,23.006
595,91.067
596,111.386
597,113.617
598,15.474
599,100.159
600,17.978
601,103.421
602,12.669
603,147.343
604,106.695
605,109.768
606,117.38
607,104.131
608,99.149
609,100.327
610,84.775
611,15.566
612,15.082
613,102.045
614,19.824
615,122.064
616,197.464
617,190.27
618,105.085
619,53.782
620,13.063
621,15.03
622,15.857
623,20.326
624,12.046
625,32.805
626,11.465
627,10.458
628,12.233
629,12.879
630,118.907
631,110.478
632,19.288
633,13.443
634,11.767
635,68.704
636,98.327
637,22.856
638,13.183
639,29.042
640,15.531
641,25.737
642,111.419
643,95.024
644,19.817
645,42.53
646,22.109
647,18.284
648,102.558
649,104.03
650,101.759
651,105.414
652,16.571
653,27.295
654,50.268
655,13.739
656,67.527
657,18.801
658,23.711
659,73.282
660,11.556
661,82.632
662,20.038
663,12.247
664,11.284
665,13.644
666,87.582
667,18.158
668,17.824
669,20.272
670,10.695
671,23.766
672,16.341
673,77.188
674,102.786
675,22.025
676,102.159
677,104.189
678,175.57
679,18.166
680,33.8
681,54.951
682,60.268
683,36.531
684,13.237
685,27.038
686,87.218
687,12.808
688,13.945
689,26.712
690,109.083
691,100.701
692,25.266
693,123.462
694,204.809
695,17.753
696,97.936
697,23.014
698,21.725
699,17.255
700,17.464
701,22.339
702,89.064
703,103.887
704,105.96
705,105.42
706,15.12
707,12.125
708,19.143
709,13.806
710,28.587
711,105.791
712,106.413
713,27.96
714,29.489
715,12.752
716,13.217
717,84.191
718,108.911
719,17.473
720,18.837
721,101.462
722,34.189
723,13.707
724,46.832
725,94.497
726,14.654
727,13.196
728,12.776
729,12.108
730,91.344
731,103.954
732,103.294
733,69.689
734,62.045
735,13.256
736,20.399
737,105.64
738,116.958
739,19.933
740,96.895
741,87.092
742,101.124
743,91.575
744,97.308
745,113.467
746,128.972
747,23.774
748,14.048
749,13.004
750,12.733
751,72.616
752,18.813
753,27.152
754,18.0
755,24.546
756,18.464
757,15.201
758,78.096
759,12.433
760,30.433
761,26.959
762,32.177
763,86.203
764,107.518
765,200.117
766,110.185
767,115.312
768,111.382
769,66.154
770,19.717
771,13.688
772,17.253
773,81.983
774,168.085
775,115.729
776,105.607
777,108.623
778,98.765
779,15.673
780,107.923
781,123.38
782,311.837
783,135.448
784,28.476
785,11.591
786,13.117
787,92.859
788,102.194
789,22.789
790,14.977
791,99.632
792,16.05
793,97.3
794,15.367
795,18.231
796,18.994
797,27.561
798,100.523
799,106.603
800,107.394
801,97.204
802,19.405
803,93.462
804,31.705
805,72.694
806,88.806
807,102.047
808,21.173
809,104.097
810,90.956
811,32.712
812,179.686
813,84.705
814,15.36
815,98.62
816,102.687
817,13.968
818,15.406
819,22.269
820,17.148
821,74.76
822,108.414
823,108.297
824,183.574
825,175.091
826,13.789
827,16.243
828,13.807
829,20.174
830,12.837
831,12.667
832,72.695
833,21.131
834,106.326
835,120.397
836,90.1
837,105.358
838,98.792
839,100.484
840,13.662
841,12.72
842,88.174
843,106.778
844,102.668
845,98.427
846,99.602
847,200.247
848,201.26
849,191.616
850,107.668
851,32.26
852,107.483
853,21.149
854,99.505
855,101.552
856,113.6
857,192.606
858,83.127
859,97.475
860,108.658
861,17.779
862,12.599
863,13.358
864,31.347
865,85.927
866,78.917
867,54.485
868,26.547
869,18.389
870,94.401
871,191.677
872,115.086
873,12.011
874,25.541
875,25.853
876,52.818
877,11.551
878,72.021
879,73.61
880,15.475
881,74.395
882,105.433
883,33.302
884,30.986
885,13.384
886,83.9
887,93.367
888,107.116
889,112.504
890,114.797
891,101.876
892,18.848
893,115.87
894,102.677
895,127.97
896,63.558
897,72.096
898,99.588
899,98.517
900,22.213
901,97.425
902,14.158
903,64.063
904,18.049
905,68.931
906,25.354
907,13.877
908,13.144
909,13.752
910,22.716
911,80.367
912,24.925
913,102.384
914,15.103
915,18.161
916,108.024
917,75.063
918,19.093
919,13.446
920,14.348
921,48.121
922,38.374
923,15.143
924,15.722
925,103.641
926,106.956
927,175.336
928,14.691
929,16.926
930,86.365
931,14.216
932,11.811
933,33.497
934,42.595
935,554.88
936,308.74
937,308.452
938,235.522
939,305.517
940,190.257
941,112.51
942,107.152
943,16.138
944,12.464
945,47.058
946,15.744
947,15.422
948,27.587
949,68.684
950,20.058
951,66.604
952,17.349
953,23.819
954,17.958
955,15.855
956,87.822
957,32.647
958,43.17
959,84.44
960,15.847
961,42.592
962,12.975
963,14.875
964,90.831
965,14.099
966,106.281
967,105.992
968,93.767
969,155.803
970,23.792
971,96.227
972,91.28
973,89.522
974,74.508
975,13.206
976,33.957
977,19.003
978,18.725
979,13.039
980,14.151
981,19.352
982,12.456
983,14.011
984,15.52
985,42.126
986,17.23
987,18.086
988,22.114
989,18.753
990,27.561
991,33.591
992,21.934
993,106.397
994,109.222
995,92.018
996,11.816
997,18.133
998,37.106
999,12.238
