,0
0,4601.328
1,4396.437
2,3903.17
3,2805.341
4,4102.639
5,4500.578
6,3504.106
7,4702.143
8,6301.223
9,5303.034
10,2503.145
11,3699.007
12,4696.579
13,210.116
14,3902.268
15,5197.182
16,4704.716
17,2704.319
18,113.811
19,4601.151
20,4401.916
21,4105.037
22,4600.331
23,4103.384
24,4599.84
25,3705.596
26,2006.012
27,2502.52
28,4804.3
29,4503.222
30,4299.203
31,7798.408
32,4702.338
33,1903.936
34,2700.603
35,4996.406
36,3699.337
37,5402.294
38,3700.469
39,2400.006
40,4200.513
41,4498.758
42,3105.787
43,3701.178
44,3602.893
45,4601.607
46,4096.414
47,2427.81
48,1000.161
49,4402.691
50,4296.019
51,5801.178
52,3598.967
53,3007.302
54,5398.844
55,2797.374
56,4801.682
57,6102.993
58,4800.567
59,94.996
60,5004.517
61,4398.894
62,3104.899
63,5401.412
64,4102.572
65,5097.577
66,4797.131
67,103.61
68,3400.396
69,5103.02
70,3597.043
71,4304.612
72,502.124
73,4602.668
74,153.303
75,4399.943
76,5794.976
77,4794.817
78,3303.344
79,5406.094
80,4802.719
81,4307.492
82,4700.994
83,3402.18
84,5100.652
85,5204.974
86,3799.41
87,3008.43
88,5097.274
89,4596.182
90,4703.033
91,4103.716
92,4904.526
93,4303.362
94,4001.383
95,709.578
96,4603.644
97,4198.351
98,4999.299
99,2101.543
100,2796.813
101,2701.05
102,5199.611
103,3002.423
104,3906.799
105,3801.709
106,3895.98
107,5202.227
108,3903.061
109,1898.491
110,2104.888
111,4803.03
112,2596.034
113,4604.656
114,2599.956
115,3399.55
116,4499.458
117,4501.782
118,700.891
119,3900.623
120,1398.397
121,4399.54
122,3699.945
123,5103.936
124,4699.054
125,3899.65
126,4500.345
127,5304.013
128,4502.531
129,225.78
130,6598.966
131,3003.22
132,3503.188
133,3400.25
134,5102.397
135,4300.498
136,2499.821
137,316.368
138,5001.723
139,5401.688
140,3598.902
141,2699.619
142,2903.54
143,3200.583
144,4102.102
145,4698.448
146,7202.916
147,1207.619
148,4595.537
149,2803.456
150,4205.279
151,4899.274
152,4697.635
153,3510.017
154,5005.512
155,2905.176
156,3299.981
157,3101.301
158,3096.555
159,5203.426
160,96.453
161,4694.999
162,5004.424
163,5798.539
164,1699.828
165,2697.783
166,6799.9
167,3505.885
168,2699.656
169,3403.879
170,4099.925
171,5206.644
172,5800.164
173,305.539
174,4197.117
175,3199.376
176,5004.863
177,3304.309
178,4199.044
179,5003.29
180,3501.459
181,4102.913
182,4198.45
183,6100.461
184,3703.455
185,3805.483
186,4205.987
187,7404.256
188,1105.549
189,4102.558
190,4604.828
191,5805.812
192,3099.632
193,6202.509
194,5100.677
195,2600.19
196,4499.324
197,4301.973
198,1297.305
199,5305.698
200,4805.973
201,5699.928
202,3796.411
203,202.666
204,702.343
205,5005.119
206,4303.122
207,4202.115
208,3704.932
209,6205.379
210,5000.792
211,3699.852
212,4300.846
213,3403.488
214,4299.733
215,4702.414
216,5700.738
217,1401.988
218,6099.397
219,4400.858
220,3905.916
221,3702.233
222,5998.799
223,505.311
224,4904.127
225,4309.044
226,3899.522
227,4205.301
228,5402.781
229,3701.923
230,4502.867
231,4600.292
232,4300.49
233,2003.93
234,1604.924
235,4298.283
236,2002.347
237,4695.311
238,5703.391
239,5300.544
240,3397.617
241,3902.714
242,4904.272
243,503.119
244,4803.264
245,3097.91
246,4002.305
247,3707.59
248,3697.09
249,2712.81
250,4602.2
251,2203.327
252,3698.571
253,4998.344
254,3403.817
255,3206.519
256,7100.115
257,3006.938
258,4295.094
259,3804.554
260,4798.699
261,4301.704
262,1495.61
263,3302.932
264,3995.703
265,4499.825
266,4103.2
267,4204.347
268,6297.378
269,3303.363
270,3801.395
271,7201.331
272,4598.099
273,8097.486
274,5104.069
275,3699.491
276,4598.04
277,3998.312
278,2298.83
279,2403.368
280,4400.669
281,3098.267
282,4798.793
283,3602.721
284,4406.91
285,5699.895
286,6005.124
287,1004.222
288,2801.58
289,1402.58
290,3105.179
291,115.164
292,5001.941
293,5298.343
294,4900.042
295,3803.544
296,5103.66
297,4999.169
298,4698.075
299,4600.558
300,4703.402
301,3704.438
302,1105.993
303,4297.473
304,898.262
305,3402.564
306,4298.331
307,3497.323
308,4895.369
309,4003.454
310,1197.58
311,4301.17
312,2104.746
313,3996.044
314,7598.158
315,4101.944
316,3999.789
317,4897.723
318,5198.696
319,599.393
320,5093.972
321,2507.682
322,1501.241
323,4504.568
324,4599.557
325,4604.043
326,3599.573
327,5096.602
328,3504.037
329,2807.937
330,3004.14
331,4501.279
332,3200.79
333,4701.087
334,300.899
335,4999.296
336,2001.707
337,4400.772
338,3803.378
339,4502.541
340,3493.751
341,2302.653
342,3604.743
343,5801.43
344,5004.986
345,3701.057
346,4198.621
347,3805.962
348,4601.252
349,5602.473
350,4695.059
351,4300.551
352,3507.228
353,5896.203
354,3699.891
355,5900.636
356,5501.787
357,4406.919
358,3403.275
359,4600.865
360,8702.139
361,4401.016
362,2802.589
363,2204.072
364,4997.842
365,5502.854
366,1604.77
367,4901.336
368,2599.632
369,5496.571
370,4003.101
371,4502.78
372,3602.628
373,4701.289
374,25.656
375,6101.757
376,2899.087
377,608.108
378,4002.861
379,4796.004
380,2204.332
381,2003.816
382,5597.212
383,5498.851
384,5597.708
385,5206.253
386,2402.052
387,1004.832
388,1503.244
389,4501.589
390,1501.995
391,4099.032
392,4403.277
393,200.701
394,2297.44
395,3097.648
396,6700.915
397,5297.964
398,4003.401
399,6402.334
400,5002.074
401,3597.195
402,4297.093
403,3895.003
404,3901.681
405,3705.323
406,3001.713
407,4900.815
408,2003.764
409,1903.291
410,5197.927
411,6403.347
412,3898.707
413,4002.493
414,6106.776
415,4500.352
416,5297.626
417,2903.86
418,1503.531
419,4398.56
420,4802.232
421,4705.123
422,4299.81
423,4402.922
424,2908.345
425,2603.987
426,4600.219
427,904.904
428,2003.268
429,1102.988
430,8098.151
431,4498.339
432,5099.409
433,3001.884
434,1004.889
435,3703.913
436,309.577
437,3301.288
438,2103.118
439,6000.416
440,3701.801
441,3899.9
442,499.123
443,3504.12
444,4507.241
445,5001.973
446,4198.429
447,2201.508
448,5102.295
449,3201.105
450,5502.593
451,4297.722
452,4402.29
453,4497.777
454,3799.461
455,2198.004
456,5498.855
457,2205.284
458,3403.896
459,5305.246
460,708.1
461,4097.862
462,5603.834
463,4100.922
464,3601.369
465,2598.809
466,3097.472
467,4100.062
468,5401.52
469,3497.389
470,3001.331
471,4902.92
472,3904.692
473,4004.081
474,5100.502
475,5203.083
476,6206.452
477,5398.056
478,6599.958
479,4199.567
480,4405.141
481,3697.329
482,2604.259
483,3005.419
484,5102.134
485,4499.125
486,3903.804
487,5398.216
488,1100.314
489,4599.751
490,3500.032
491,2805.002
492,4506.11
493,122.104
494,499.618
495,3603.282
496,6099.014
497,3404.164
498,4104.171
499,3901.695
500,3398.299
501,6495.594
502,3202.165
503,901.819
504,4500.708
505,2002.361
