,0
0,0.222
1,0.22
2,0.31
3,0.942
4,0.261
5,0.827
6,0.461
7,0.645
8,0.41
9,0.258
10,0.577
11,0.476
12,0.324
13,0.217
14,0.349
15,2.648
16,0.474
17,0.207
18,0.25
19,0.362
20,0.357
21,2.323
22,0.394
23,0.21
24,5.579
25,2.35
26,1.009
27,0.238
28,0.901
29,0.519
30,0.221
31,0.407
32,0.509
33,0.171
34,0.373
35,1.103
36,0.272
37,1.173
38,0.271
39,0.815
40,0.429
41,0.575
42,0.484
43,3.417
44,4.201
45,0.39
46,1.749
47,0.473
48,0.862
49,1.013
50,0.577
51,0.861
52,1.5
53,0.99
54,1.124
55,0.25
56,0.418
57,0.311
58,1.028
59,0.297
60,0.525
61,0.308
62,1.887
63,0.944
64,1.281
65,0.57
66,0.616
67,1.019
68,1.478
69,0.344
70,0.166
71,0.264
72,1.361
73,1.348
74,3.08
75,0.238
76,0.283
77,0.236
78,0.602
79,0.911
80,0.309
81,2.598
82,0.269
83,0.321
84,0.475
85,0.634
86,0.303
87,0.36
88,0.32
89,0.432
90,0.381
91,0.329
92,0.837
93,0.413
94,0.198
95,0.28
96,0.749
97,0.278
98,1.225
99,0.8
100,0.748
101,0.561
102,0.83
103,37.989
104,0.264
105,3.742
106,0.588
107,1.471
108,16.436
109,0.286
110,0.453
111,0.338
112,0.293
113,0.339
114,0.204
115,0.452
116,0.6
117,0.576
118,0.52
119,0.785
120,0.38
121,0.317
122,1.19
123,0.541
124,0.53
125,0.35
126,0.248
127,1.593
128,1.359
129,2.359
130,1.194
131,0.996
132,0.283
133,0.41
134,1.002
135,0.233
136,0.232
137,1.798
138,1.151
139,0.873
140,0.375
141,0.536
142,0.236
143,0.399
144,0.241
145,0.158
146,0.269
147,0.265
148,1.074
149,0.32
150,0.499
151,0.348
152,0.372
153,0.247
154,0.546
155,0.215
156,0.258
157,71.259
158,0.46
159,0.175
160,1.076
161,0.588
162,0.217
163,0.33
164,0.201
165,0.273
166,1.319
167,0.497
168,0.595
169,0.392
170,0.946
171,0.184
172,0.782
173,0.845
174,0.363
175,0.339
176,0.283
177,0.915
178,2.035
179,4.74
180,1.725
181,0.855
182,48.555
183,2.133
184,0.33
185,1.631
186,2.01
187,0.245
188,0.308
189,0.269
190,0.273
191,0.229
192,0.294
193,0.257
194,0.486
195,0.593
196,0.338
197,0.433
198,0.786
199,7.571
200,1.577
201,0.491
202,1.569
203,0.339
204,0.603
205,0.885
206,0.828
207,1.089
208,0.195
209,0.929
210,0.225
211,0.497
212,1.269
213,1.233
214,0.534
215,0.483
216,0.92
217,1.097
218,0.437
219,5.375
220,0.618
221,0.686
222,1.193
223,0.283
224,0.209
225,1.888
226,1.013
227,0.509
228,0.357
229,0.587
230,2.388
231,0.542
232,0.632
233,1.033
234,0.217
235,0.428
236,0.296
237,0.466
238,0.497
239,0.224
240,0.691
241,59.503
242,0.521
243,2.242
244,0.875
245,0.882
246,1.935
247,0.222
248,0.331
249,0.227
250,0.206
251,0.186
252,0.929
253,0.349
254,0.448
255,0.494
256,0.362
257,0.273
258,0.287
259,0.75
260,1.058
261,0.235
262,0.333
263,0.361
264,0.403
265,0.669
266,0.765
267,1.544
268,0.26
269,1.071
270,1.61
271,4.861
272,1.242
273,1.233
274,0.268
275,0.262
276,0.364
277,0.216
278,1.328
279,0.651
280,0.613
281,1.257
282,0.975
283,1.581
284,0.76
285,1.722
286,2.279
287,0.585
288,0.563
289,0.232
290,1.089
291,0.641
292,0.529
293,2.277
294,0.286
295,1.016
296,1.205
297,0.891
298,0.196
299,1.024
300,0.224
301,0.468
302,0.767
303,0.325
304,1.197
305,0.452
306,2.243
307,0.39
308,0.334
309,0.319
310,1.219
311,0.513
312,0.528
313,0.544
314,0.366
315,0.813
316,0.765
317,0.804
318,0.995
319,0.279
320,0.835
321,1.854
322,6.546
323,0.217
324,3.275
325,0.227
326,0.781
327,0.705
328,44.629
329,0.809
330,0.6
331,0.423
332,0.827
333,0.356
334,3.086
335,1.789
336,5.614
337,0.229
338,0.209
339,0.916
340,1.179
341,4.469
342,5.2
343,0.184
344,1.39
345,4.097
346,0.324
347,0.223
348,3.044
349,0.259
350,0.322
351,1.154
352,0.837
353,0.54
354,0.25
355,0.802
356,3.21
357,0.551
358,0.875
359,0.771
360,0.203
361,0.307
362,0.249
363,0.348
364,4.701
365,1.964
366,55.522
367,2.718
368,1.67
369,0.887
370,0.434
371,0.2
372,2.254
373,1.535
374,1.176
375,8.478
376,2.054
377,1.364
378,1.039
379,0.332
380,0.545
381,0.435
382,0.608
383,0.258
384,0.37
385,0.972
386,0.461
387,0.553
388,0.498
389,0.624
390,0.262
391,1.167
392,0.702
393,0.207
394,0.206
395,0.514
396,0.346
397,0.523
398,0.301
399,0.339
400,0.278
401,0.439
402,43.0
403,0.366
404,0.263
405,0.403
406,0.764
407,1.301
408,0.365
409,1.012
410,0.64
411,0.641
412,1.246
413,0.749
414,0.537
415,0.397
416,0.568
417,0.258
418,0.168
419,0.97
420,0.334
421,0.36
422,0.261
423,0.416
424,0.583
425,0.948
426,0.256
427,0.497
428,0.257
429,1.192
430,2.361
431,65.172
432,0.876
433,0.395
434,0.715
435,2.408
436,6.919
437,31.772
438,0.301
439,0.221
440,0.299
441,0.23
442,0.689
443,1.294
444,0.67
445,0.451
446,0.343
447,0.266
448,0.435
449,0.269
450,0.291
451,0.272
452,0.281
453,0.255
454,0.251
455,0.686
456,0.22
457,1.079
458,0.502
459,0.581
460,0.83
461,1.531
462,0.339
463,1.684
464,1.777
465,1.001
466,0.397
467,0.436
468,0.869
469,0.34
470,0.3
471,2.127
472,0.82
473,1.18
474,0.96
475,0.52
476,0.621
477,2.625
478,1.397
479,0.248
480,1.332
481,0.719
482,0.522
483,1.138
484,1.56
485,1.739
486,0.322
487,0.547
488,2.025
489,1.196
490,0.395
491,1.283
492,0.248
493,1.225
494,0.205
495,0.618
496,0.491
497,0.593
498,63.664
499,0.219
500,0.529
501,0.282
502,1.767
503,0.233
504,0.464
505,0.921
506,0.739
507,0.875
508,1.718
509,0.908
510,0.957
511,0.31
512,0.677
513,0.935
514,0.272
515,0.263
516,1.027
517,0.283
518,0.507
519,0.372
520,0.55
521,1.381
522,0.794
523,0.437
524,1.179
525,0.603
526,0.495
527,1.925
528,1.219
529,1.001
530,1.736
531,0.3
532,0.425
533,0.287
534,0.321
535,1.154
536,0.944
537,0.544
538,0.665
539,0.356
540,0.337
541,0.253
542,0.516
543,1.152
544,0.235
545,1.007
546,0.531
547,52.823
548,0.249
549,1.007
550,0.376
551,0.271
552,0.305
553,0.533
554,26.037
555,0.258
556,0.469
557,2.624
558,6.4
559,0.374
560,0.655
561,0.825
562,0.176
563,1.223
564,0.318
565,0.837
566,0.338
567,1.149
568,0.358
569,0.397
570,0.243
571,0.207
572,0.228
573,0.505
574,0.318
575,0.727
576,0.607
577,1.328
578,0.288
579,2.677
580,0.51
581,0.693
582,3.091
583,79.973
584,0.521
585,0.835
586,1.068
587,0.913
588,0.22
589,0.968
590,0.97
591,4.386
592,0.271
593,0.633
594,0.767
595,0.694
596,0.726
597,0.244
598,1.106
599,0.267
600,0.232
601,0.272
602,0.795
603,0.327
